PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,superpop
-0.8692274,0.88685966,-1.221122,-0.6752682,1.0476325,-0.31758463,0.13948506,2.3402624,-0.59385455,-0.3060557,0.6771293,0.6808614,0.19948451,0.79926956,-0.2619034,0.15132962,-0.22775266,-0.8675905,0.33980533,-1.1494229,0.0
8.652219,7.12738,8.035254,7.66347,7.1429343,1.5852454,1.7287278,-0.99337685,0.774396,0.69199395,-1.01848,-0.80337167,0.074827306,0.35310844,1.0170106,0.93026996,-0.60679215,-0.5252235,-0.56618774,0.00066039857,4.0
10.278784,8.470729,8.607823,7.9416623,8.3600025,0.46668175,1.2830665,1.2678007,0.29363382,-0.41394946,-0.09598523,-1.3280705,0.2323687,0.86146563,0.6217573,-1.7811896,-0.033880107,-0.5396063,-1.807376,0.34253952,4.0
6.8532333,6.0550637,4.257463,6.875004,4.4478674,-0.64898264,-0.0773763,-0.6042144,-0.5731476,0.9577846,0.0009820232,-1.3847686,-0.1879199,1.0325041,-0.2486539,-0.47208986,1.3109189,-0.31670693,-0.1861041,-0.5764602,3.0
5.1737514,5.777932,4.205057,6.729932,5.4381285,-0.15792575,1.5042593,-1.3950295,0.5935117,0.33137852,-1.0592327,-0.62799966,-0.27133808,1.8469073,-0.031249959,-0.0938727,-1.6803584,1.3298597,0.1382938,1.0734841,3.0
6.409629,4.4578733,4.9871383,5.9702625,7.2995844,0.42006436,2.429149,1.398059,-0.6280987,1.1968799,0.6109935,-0.45477438,1.3261192,0.5883323,-1.2547675,1.3883021,-0.45518342,0.3185958,-0.35494208,0.68589437,3.0
2.820198,1.8370185,1.1448524,1.2482919,1.9052873,-2.3144305,0.556534,0.50569206,-0.06984274,-1.0454406,0.61336625,0.4634071,0.9385231,1.4252927,1.5083258,0.10539497,-1.315819,-0.35000098,-0.90426475,-0.61032784,1.0
2.739802,1.8213998,2.07849,1.560182,3.237379,-1.5462023,0.7171652,0.7770326,-0.009674912,0.26038763,0.28203353,0.25829947,-0.03398452,0.5267399,-0.08607336,-1.6189772,0.76300204,0.22761525,-1.4569789,1.7043737,1.0
6.3840294,8.093433,6.6102233,7.689544,9.069298,1.4393831,0.5064594,0.8359753,-0.04978524,0.37449503,1.4388534,1.4150813,-0.15891987,-0.73604894,-0.23351878,-0.5403915,0.18786828,0.11460264,1.1903714,0.5201455,4.0
3.611564,3.9684215,3.4394116,3.3444757,3.913674,1.4790541,0.94281805,-0.12442945,-1.5082921,-0.71995616,-1.190967,1.3271062,1.4336232,0.31235814,1.2340467,-0.07613173,-1.5848289,0.21679449,-0.14276333,1.4274154,2.0
7.082293,6.183323,6.4038897,7.607359,7.08345,0.7274637,0.5772562,0.5368813,1.416126,0.4737563,0.082703345,-1.3033512,0.5189929,1.3394899,-0.23876244,-0.067961216,1.1349249,0.86577237,0.633352,-0.5392033,3.0
8.018176,9.414193,6.256242,8.112893,7.8515043,-0.25285253,-1.3820223,0.9391634,0.3561815,-0.6561665,0.67499673,1.2909728,-0.8332281,-0.3416161,0.7181531,0.8066805,-0.7783447,0.017674841,1.1869689,-0.59568787,4.0
1.532894,2.1331484,1.2453,1.8317719,2.3466506,1.1960464,0.0507444,-2.4047236,1.6730069,-0.4568237,-0.08105227,0.8787492,-0.5955836,1.101901,0.5538652,-0.9508781,-1.1833901,-0.82016397,0.30568314,0.1398253,1.0
5.3628674,5.11047,6.5973577,5.3807197,4.228388,-0.020930577,0.5845617,0.61586004,-0.49985203,0.039947726,-0.7814638,0.31946027,0.2995379,-0.39653328,-0.53094715,0.93561554,-0.88726664,0.5297974,0.2683995,0.35011527,3.0
5.668631,5.6511,6.767885,5.667139,5.0827184,0.8372089,1.4950181,-0.8303458,-1.2990623,-1.4490054,-1.1116694,1.9441301,0.8532948,-1.4188342,0.98297036,-0.5386842,-0.95864296,1.5238656,0.049686838,-0.10363245,3.0
-1.425911,0.33642095,-0.060710046,-2.7827954,-0.4793284,-0.19467413,-1.3608466,1.379561,-0.27945054,-0.2199967,1.1315615,-0.55813056,0.55031455,-0.23263192,-1.1290799,-2.2447624,-0.62452555,-1.5477768,-0.43917063,-0.8290018,0.0
2.9502769,4.834068,5.5749755,3.4380906,2.152985,-0.5631663,-0.29311785,-1.5726203,0.77830064,-0.26398358,-1.2448606,1.1790427,-0.20898786,2.7948596,0.9469398,1.1613066,0.48904976,-0.15927695,0.18957783,0.65355754,2.0
3.029478,1.5325644,3.2099822,1.0707295,0.9353237,-0.87338495,0.14443307,-0.11456212,0.4030788,0.783391,1.6240975,-1.9683785,0.41863957,0.7187444,-0.49182698,0.6325046,0.4409003,-2.0394561,1.0628663,0.77601296,1.0
4.0096235,3.7389765,4.401069,4.167187,3.3475356,2.3190866,-0.3155666,1.2293459,0.0073606614,0.32083952,0.8575481,-0.06394693,0.16331865,1.1104544,0.6585893,-0.1844671,0.26986125,0.40335152,-1.3365353,1.08149,2.0
1.7802378,1.2494383,2.9104774,3.499604,3.0352848,-0.16316445,0.2580013,0.8273086,-0.24229655,-0.18000333,0.9583788,0.37814003,0.75565326,0.17704019,1.4330007,0.07244384,-0.770464,0.45658717,-1.315046,-0.5072199,1.0
0.43172336,0.5053895,-0.70117974,-1.4619617,1.0286627,0.047581047,0.4148639,-2.7009306,-0.46177635,0.4607244,0.53581893,1.0057622,-0.51035285,0.87927073,1.7738712,-0.13286506,-0.092864335,0.7552723,-0.82262105,-0.23406623,0.0
4.0481563,5.35002,7.3482265,6.309952,5.0202513,-1.3293432,-0.9842691,0.62863904,-0.41744223,1.7064806,-0.2508097,-0.03361201,1.0026021,0.348723,-0.4209825,-0.64503807,1.5778065,0.10752751,1.1045673,0.5975854,3.0
2.4007795,2.4854813,0.27264404,0.45129716,2.638115,-0.5026921,-0.99724096,-0.5642583,1.2818675,0.4397559,-0.48389226,-1.7124406,1.1768451,0.11981529,0.6613006,1.7996032,-1.1858695,-0.94936,1.8357196,1.2281891,1.0
9.214337,8.536807,7.4081907,9.135896,8.934776,0.50409085,0.66533536,-0.601616,-0.932598,0.07411814,0.21128911,0.026312185,0.26609203,-1.2686149,-0.060004313,1.2470573,-0.46734902,1.5499024,0.4501675,1.2971551,4.0
6.679712,5.4720073,7.0699015,4.928658,5.5172777,0.068820074,0.3631861,-0.3995832,-0.3808898,-1.2363336,0.15673366,0.6196062,-0.12435576,-0.6375985,-0.08423545,-0.37873507,-0.30233616,-0.81448144,-0.9166911,0.5425161,3.0
3.3377805,1.9287273,0.353086,2.840977,3.9319985,0.33773634,-0.6940234,-0.38390836,0.34688562,2.55158,-0.8072035,3.3628078,1.2803383,0.8974211,0.0035554902,-0.23826396,-1.841242,-0.6197159,-1.18009,-0.8509625,1.0
7.173904,7.3299055,8.962,6.3068976,7.289822,2.8641133,1.0953146,0.77987,0.5384628,0.9187522,-1.1019765,1.5297225,-0.26116738,-0.00061217375,1.5526317,-0.92553604,-0.18804802,0.09769333,0.9962014,-1.3021694,4.0
2.785057,4.178467,4.6957197,4.0312414,5.1686344,-0.37791055,0.0141556505,-0.6414207,0.87676734,1.4545463,0.03723683,0.9660861,0.9985602,0.18609315,0.4123595,-0.9746047,0.49443793,1.1529002,0.17298205,0.3971927,2.0
6.581709,8.397676,8.706756,6.154173,7.1989417,-1.5775687,-0.91714334,-0.23112394,-1.1705186,-0.9801229,0.055551693,-0.62611926,-0.5793586,-0.594842,0.0714439,0.34203848,0.3724806,0.48523873,0.0847552,0.2619567,4.0
7.0898314,7.85766,8.298911,9.45714,7.6862373,1.2275796,-0.5929,-0.33637235,-0.03208916,-0.56835663,-1.4244142,-1.3246591,1.6700603,-1.5656097,-0.5449694,0.31158468,0.59308046,1.8193921,-0.879195,-1.1781039,4.0
6.3590875,6.219908,6.6676745,6.63482,5.491729,1.239706,0.42371237,0.26685122,0.3025256,-1.4626768,-0.73234415,-1.0476098,-1.5174758,-1.0135499,1.3760133,1.4396725,-0.07409196,-1.0500745,0.5453902,1.2172711,3.0
1.1532469,-0.15164375,2.2473671,0.5535836,0.6849227,0.17258528,-0.08771511,-0.42181757,-1.1414005,-1.907376,-1.194723,-0.0979339,0.009372033,-0.1997093,1.4665723,-1.794983,-1.0095614,1.066219,-0.026678767,-0.4104823,1.0
3.640917,3.1806092,5.690116,4.25804,0.05448699,1.1363208,0.4543146,-1.0420363,0.46329707,-1.6464735,-0.88882846,1.7224642,-0.52207077,-0.097925685,0.33380675,0.62763876,2.888136,1.5409017,-0.45909932,-0.576277,2.0
6.9959574,5.780197,6.1396637,5.74818,5.639496,-1.1880493,-1.3642507,0.580544,-0.4648768,0.2402582,-0.1997478,0.02583824,-0.68853104,-0.044598997,-0.80908257,0.15096657,0.63668895,-0.8893891,-0.80924785,1.7103343,3.0
4.375682,3.0555441,3.41296,3.747578,5.300588,0.25172508,1.4006069,-0.70069945,-0.29083338,0.63280696,-0.69988763,-0.47054502,-1.5116411,0.19068012,0.20442297,0.1638638,-0.14331236,0.30630353,1.0658444,-2.35344,2.0
7.165774,6.1701097,6.528816,8.889062,7.139879,-0.43667,-1.2867696,-0.7686097,-0.43936512,0.44947553,-2.0128057,3.0877275,-0.1006235,-1.480006,1.0192475,0.06031698,-0.93969834,0.1998786,-0.39759028,2.0581777,3.0
